"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4739",346.876860080847,-1.02423381330414,0.102368092060208,-10.0054010257584,1.44305826898305e-23,2.18022053472189e-21
"10095",15971.863008524,0.738034543084856,0.0739301462247712,9.98286329423718,1.8116205505099e-23,2.71060278573839e-21
"90007",3141.8550842918,0.644209963023209,0.0645341992966891,9.98245844907012,1.81902926419289e-23,2.71060278573839e-21
"1265",9534.28368365931,0.92905038931064,0.0932019914712755,9.96813882026298,2.10129446949349e-23,3.10991581485037e-21
"5128",5317.66863930973,0.875007029507418,0.0877939977630582,9.9665928400814,2.13424946687219e-23,3.13734671630213e-21
"116362",86.6566847497953,-7.39198166240591,0.742178619859812,-9.95984182864519,2.28425840745542e-23,3.33532388675169e-21
"1836",306.306787853783,-1.68058566722111,0.169181290429067,-9.93363783287692,2.97210197137502e-23,4.31073669928233e-21
"63027",317.914573005826,-1.54011178482925,0.155391510969541,-9.91117066318466,3.72258471741556e-23,5.36348033854919e-21
"943",1653.1482614257,0.956521015207749,0.0965260239611756,9.90946250508027,3.7867784680771e-23,5.38465048048924e-21
"28988",3656.24132995286,0.558959547439439,0.0564038457227007,9.90995454791262,3.76817560090158e-23,5.38465048048924e-21
"4288",561.873376874884,-2.58882521416508,0.261384033296522,-9.90429744891203,3.9876276538954e-23,5.6334303401395e-21
"84632",46.4365981712507,-3.27060862104919,0.330319723167888,-9.90134221984338,4.10725206633805e-23,5.76499199711294e-21
"79603",44.122611223793,-3.66744509517708,0.370605756844389,-9.89581253784188,4.34071015999553e-23,6.05362116928608e-21
"202",792.750172641904,-0.907094718795799,0.0918571610392074,-9.87505719242317,5.34024881507783e-23,7.40015625610403e-21
"206338",8147.38328932994,0.890424563926408,0.0901870004490095,9.87309212517653,5.4459411735014e-23,7.49885418801876e-21
"388507",90.6902677273795,-3.23228209047913,0.328654148133699,-9.83490428717855,7.96433024136084e-23,1.08976080962922e-20
"23231",478.402687139122,-1.24402466933531,0.12666741722267,-9.82118919460102,9.12605422821664e-23,1.24091522368176e-20
"250",164.649810169328,-2.22968333074004,0.227278467145171,-9.81035889033807,1.01606539318212e-22,1.37301358348262e-20
"79007",203.27236289596,-1.67107451812638,0.170451735383493,-9.80379879598582,1.08429363770531e-22,1.45616619641461e-20
"10801",18304.6672673921,0.882028735661202,0.0900594215786005,9.79385299395245,1.19647629155974e-22,1.59696553369163e-20
"22901",2521.12935834142,0.774870423520696,0.079374719523125,9.7621815632992,1.63597538827357e-22,2.17026100898047e-20
"100506658",171.764184493827,-2.58936348387039,0.265399636926303,-9.75646957870337,1.73075530500856e-22,2.28207954034946e-20
"23594",151.932198531972,-1.87695463519229,0.192452907359601,-9.75279958584971,1.79449932205484e-22,2.35187513557982e-20
"55304",400.826661662686,-1.41636711797961,0.145442428135724,-9.73833520338293,2.0691629299795e-22,2.69561129967868e-20
"5336",198.490158290809,-1.28453418418227,0.132111668574367,-9.72309409186813,2.40364390433866e-22,3.11271885611856e-20
"5362",404.470638305547,-1.19851867357124,0.123326342578132,-9.718269823918,2.52027331680984e-22,3.24444179174645e-20
"4744",116.541752117055,-1.95798759619404,0.201553625850769,-9.71447468597633,2.61594406683272e-22,3.34779288929486e-20
"221749",5069.91767134543,0.574943457175081,0.0592216283083452,9.70833584955757,2.77836093439641e-22,3.53485499934084e-20
"2618",3985.49767841345,0.553187348256929,0.0570393917972532,9.69833882912421,3.06447137897829e-22,3.87619996052626e-20
"22875",117.768658184546,-2.09891151621919,0.216818656118724,-9.68049315401109,3.64951298398237e-22,4.58952627049252e-20
"25797",98.1691429171935,-2.95084552836606,0.305353611425601,-9.66369945516438,4.30047304580634e-22,5.37707422899786e-20
"84981",987.111201138934,0.675576179674262,0.0700101264376003,9.64969232381547,4.93034311594236e-22,6.12940256173955e-20
"9805",1069.65317742087,-1.13058051320625,0.117170820352122,-9.64899374954132,4.96404178269157e-22,6.13623255819533e-20
"147920",157.077700508917,-3.27237331824797,0.339289976368788,-9.64476862320005,5.17277146353412e-22,6.35812519551686e-20
"5909",626.375500748651,0.833453028565761,0.086592633389149,9.62498766864159,6.27144464179212e-22,7.66525559701289e-20
"54842",98.2567527586959,-1.80641552737929,0.188069584545244,-9.60503811260732,7.61297608912781e-22,9.25295574274105e-20
"170961",2962.27476002777,1.18439143938441,0.12339025026602,9.59874412144357,8.09244070598832e-22,9.78106333330455e-20
"333",1396.29658979986,0.736300577768194,0.0767313436686158,9.59582541585742,8.32480718870716e-22,1.00063262540062e-19
"4610",2344.43592249542,0.796974576193019,0.0832243476992428,9.57621895785997,1.0066276371026e-21,1.20330719081341e-19
"85456",683.810035938204,-1.86723686022374,0.195211557502167,-9.56519626253694,1.11988791199887e-21,1.33138149800259e-19
"134266",1838.06866284134,0.73877015387935,0.0773607991358738,9.54967066177535,1.30109235853853e-21,1.53840029088937e-19
"23218",677.424702843302,-1.00600827018481,0.105526916134244,-9.53319121829578,1.52521104839895e-21,1.79364819291717e-19
"91624",1175.49614228177,0.994560700908937,0.104393331425728,9.52705203796022,1.61812917702531e-21,1.89268915996574e-19
"9891",141.847025552333,-2.13279432207368,0.224475143022699,-9.50124941832873,2.07386877276638e-21,2.41278550910724e-19
"6747",6625.55459307703,0.650685584799408,0.0685387416154641,9.49369027593289,2.22996910617218e-21,2.58059616350436e-19
"55075",239.261367228275,-1.29024656599353,0.135951899880916,-9.4904636648969,2.30008882260593e-21,2.64765780024416e-19
"84433",288.906173899224,-1.51571242605857,0.159963754082682,-9.47534917988436,2.6586998624945e-21,3.04435127412792e-19
"55143",133.244974929081,-1.76818301191944,0.187477761677217,-9.43142800565191,4.04543322197021e-21,4.60798142288921e-19
"54566",209.136878453178,-1.55910446231525,0.165321585872217,-9.43073739638775,4.07215972809496e-21,4.6142659918976e-19
"595",605.204408508049,-1.32329553195603,0.140373087952879,-9.4269888285156,4.22030467061415e-21,4.75735484009749e-19
"4036",162.1317002493,-2.56074774219275,0.272255309374823,-9.40568523006206,5.16922732317621e-21,5.79699534242379e-19
"10109",14180.8209986052,0.579251572027705,0.0615989362551472,9.40359699765599,5.27289519183335e-21,5.88292860479623e-19
"7113",185.968500230299,-1.67164572361182,0.177828302802826,-9.40033558924149,5.43893181303733e-21,6.03721431247144e-19
"79022",492.543434413641,-1.51459950292813,0.161259937872919,-9.39228628577123,5.87117449164142e-21,6.48392244873861e-19
"1803",704.675710081044,-1.77703781374466,0.189423128886228,-9.38131380361683,6.51557183663191e-21,7.15923135746282e-19
"8395",90.217007110707,-2.06999821081051,0.221277093430021,-9.35477856620141,8.37750119011959e-21,9.13160117338468e-19
"199713",170.474656457742,-2.5788601819173,0.275679370084755,-9.35456353199172,8.3945589018061e-21,9.13160117338468e-19
"10076",576.134952394371,-1.7766807242975,0.190113096701207,-9.34538837737113,9.15528455760334e-21,9.90957068831932e-19
"163126",59.4271975911827,-3.50308002549741,0.3756628954677,-9.32506262332903,1.10918072911843e-20,1.1946205912228e-18
"3161",105.948077574621,-2.20621449113093,0.236958304180498,-9.31055992640122,1.27160204086255e-20,1.36280660103476e-18
"637",52.7776579983653,-2.95633456309433,0.31773889399879,-9.30428921020157,1.34891528880812e-20,1.43857848153478e-18
"8804",1211.74507635109,-1.02110436280192,0.109806652952275,-9.29911198773829,1.41623531170276e-20,1.50300563128806e-18
"701",198.433641763951,-2.83449917659675,0.304886234569608,-9.29690768295285,1.44589671142179e-20,1.52703538124721e-18
"107984316",61.4002388211349,-2.22219961478794,0.239289229284846,-9.28666794334765,1.59193942106917e-20,1.67315140312951e-18
"84164",3434.11868176979,0.599590742278994,0.0646665138907397,9.27204369315564,1.82612823948268e-20,1.91005990279737e-18
