MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
,Unclustered,2,TNFRSF8,FALSE,TNFRSF8
,Unclustered,0.666666667,PCSK6,FALSE,PCSK6
Cluster 5,Clustered,4,AMOT,FALSE,AMOT
,Unclustered,3,TFPI,FALSE,TFPI
,Unclustered,1.2,CGN,FALSE,CGN
Cluster 14,Clustered,3,MPP7,FALSE,MPP7
Cluster 5,Clustered,4,TEAD4,FALSE,TEAD4
Cluster 5,Clustered,4,ANKRD1,FALSE,ANKRD1
,Unclustered,0,WWC3,FALSE,WWC3
,Unclustered,3,DYNLL2,FALSE,DYNLL2
,Unclustered,3,WWC1,FALSE,WWC1
Cluster 5,Clustered,4,AMOTL2,FALSE,AMOTL2
,Unclustered,1.583333333,PATJ,FALSE,PATJ
,Unclustered,2,TNNT2,FALSE,TNNT2
,Unclustered,0.666666667,MISP,FALSE,MISP
Cluster 1,Clustered,19.34482759,DLGAP5,TRUE,DLGAP5
Cluster 1,Clustered,19.34482759,KIF11,TRUE,KIF11
Cluster 1,Clustered,17.45454545,CLSPN,TRUE,CLSPN
,Unclustered,0.666666667,EPB41L4B,FALSE,EPB41L4B
Cluster 1,Clustered,19.91341991,KIF18B,TRUE,KIF18B
Cluster 1,Clustered,19.76284585,SKA1,TRUE,SKA1
Cluster 1,Clustered,18.24275362,E2F7,TRUE,E2F7
,Unclustered,0.25,TPM2,FALSE,TPM2
Cluster 1,Clustered,18.83076923,UHRF1,TRUE,UHRF1
Cluster 1,Clustered,18.81904762,ATAD2,TRUE,ATAD2
Cluster 5,Clustered,5,DAAM1,FALSE,DAAM1
Cluster 5,Clustered,5,CAVIN1,FALSE,CAVIN1
Cluster 1,Clustered,20,ARHGAP11A,TRUE,ARHGAP11A
,Unclustered,1.666666667,SEPTIN9,FALSE,SEPTIN9
Cluster 1,Clustered,19.34482759,CDCA5,TRUE,CDCA5
Cluster 1,Clustered,19.34482759,CDCA2,TRUE,CDCA2
Cluster 1,Clustered,20.37,SPAG5,TRUE,SPAG5
Cluster 1,Clustered,19.34482759,CDCA8,TRUE,CDCA8
Cluster 1,Clustered,19.34482759,BUB1B,TRUE,BUB1B
Cluster 1,Clustered,18.75324675,SMC4,TRUE,SMC4
Cluster 1,Clustered,19.56521739,CKAP2L,TRUE,CKAP2L
Cluster 1,Clustered,19.34482759,CENPF,TRUE,CENPF
Cluster 1,Clustered,19.56521739,DEPDC1,TRUE,DEPDC1
Cluster 1,Seed,20.37,HMMR,TRUE,HMMR
Cluster 1,Clustered,19.34482759,BUB1,TRUE,BUB1
Cluster 1,Clustered,19.34482759,KIF20A,TRUE,KIF20A
,Unclustered,0,ANOS1,FALSE,ANOS1
Cluster 5,Clustered,4.761904762,FGFR2,FALSE,FGFR2
,Unclustered,0.5,RTN4R,FALSE,RTN4R
,Unclustered,0.666666667,ANTXR2,FALSE,ANTXR2
,Unclustered,0,KLF7,FALSE,KLF7
,Unclustered,0.5,BACE2,FALSE,BACE2
,Unclustered,0,APMAP,FALSE,APMAP
,Unclustered,1.4,RPL10,FALSE,RPL10
Cluster 11,Clustered,2,APOBEC3B,FALSE,APOBEC3B
Cluster 11,Clustered,2,COX6C,FALSE,COX6C
Cluster 11,Clustered,2,APOBEC3C,FALSE,APOBEC3C
Cluster 8,Clustered,2.7,C3,FALSE,C3
,Unclustered,0,SAMHD1,FALSE,SAMHD1
,Unclustered,1.928571429,PTK2B,FALSE,PTK2B
Cluster 14,Clustered,3,FERMT2,FALSE,FERMT2
,Unclustered,2,ITM2B,FALSE,ITM2B
,Unclustered,1.6,BGN,FALSE,BGN
Cluster 8,Clustered,3,SAA1,FALSE,SAA1
,Unclustered,1.666666667,LRP2,FALSE,LRP2
,Unclustered,2,NEMP1,FALSE,NEMP1
Cluster 1,Clustered,16.9005848,STIL,TRUE,STIL
,Unclustered,0.666666667,ARHGAP26,FALSE,ARHGAP26
,Unclustered,0,OSBPL3,FALSE,OSBPL3
,Unclustered,2,ARHGEF11,FALSE,ARHGEF11
,Unclustered,3,SEMA4D,FALSE,SEMA4D
,Unclustered,0.5,ARHGAP45,FALSE,ARHGAP45
,Unclustered,0.666666667,GMIP,FALSE,GMIP
,Unclustered,2,CELSR1,FALSE,CELSR1
,Unclustered,1.2,PLXNB2,FALSE,PLXNB2
,Unclustered,2,SPTBN2,FALSE,SPTBN2
,Unclustered,2,ARHGEF16,FALSE,ARHGEF16
Cluster 5,Clustered,4.761904762,EPHA2,FALSE,EPHA2
,Unclustered,0.5,PIEZO1,FALSE,PIEZO1
,Unclustered,2,TMSB10,FALSE,TMSB10
,Unclustered,1.666666667,ARRDC4,FALSE,ARRDC4
,Unclustered,2,P2RY2,FALSE,P2RY2
,Unclustered,0.4,DNAJC6,FALSE,DNAJC6
,Unclustered,2,GPR176,FALSE,GPR176
Cluster 5,Clustered,5,PIP5K1B,FALSE,PIP5K1B
,Unclustered,0.5,MLXIP,FALSE,MLXIP
,Unclustered,0,KIAA1522,FALSE,KIAA1522
,Unclustered,0,ASCC2,FALSE,ASCC2
,Unclustered,0.5,RAD23B,FALSE,RAD23B
Cluster 1,Clustered,16.80116959,ASF1B,TRUE,ASF1B
,Unclustered,13.69117647,ORC6,FALSE,ORC6
,Unclustered,7,BARD1,FALSE,BARD1
,Unclustered,3.428571429,SLBP,FALSE,SLBP
,Unclustered,3.733333333,RBL1,FALSE,RBL1
Cluster 13,Clustered,2,ATG4C,FALSE,ATG4C
Cluster 13,Clustered,2,WIPI1,FALSE,WIPI1
Cluster 13,Seed,2,ATG9B,FALSE,ATG9B
Cluster 12,Clustered,2,ATP8B1,FALSE,ATP8B1
Cluster 12,Clustered,2,TMEM30B,FALSE,TMEM30B
Cluster 12,Seed,2,ATP8B2,FALSE,ATP8B2
,Unclustered,0,ATPAF1,FALSE,ATPAF1
,Unclustered,0.666666667,RTN2,FALSE,RTN2
Cluster 14,Clustered,3,PLEKHG4,FALSE,PLEKHG4
,Unclustered,3,PCGF5,FALSE,PCGF5
,Unclustered,4,RMI2,FALSE,RMI2
Cluster 8,Clustered,2.7,P3H1,FALSE,P3H1
,Unclustered,0,MRC2,FALSE,MRC2
,Unclustered,1.821428571,COL12A1,FALSE,COL12A1
,Unclustered,2,UTRN,FALSE,UTRN
,Unclustered,3,MFAP2,FALSE,MFAP2
,Unclustered,0,BID,FALSE,BID
,Unclustered,0,ZC3H12A,FALSE,ZC3H12A
